Date,Open,High,Low,Close,,,,,
1980-12-12 00:00:00-05:00,0.098834492,0.099264184,0.098834492,0.098834492,,,,,
1980-12-15 00:00:00-05:00,0.094107927,0.094107927,0.093678236,0.093678236,,,,,
1980-12-16 00:00:00-05:00,0.087232108,0.087232108,0.086802423,0.086802423,,,,,
1980-12-17 00:00:00-05:00,0.08895088,0.089380571,0.08895088,0.08895088,,,,,
1980-12-18 00:00:00-05:00,0.091529779,0.091959465,0.091529779,0.091529779,,,,,
1980-12-19 00:00:00-05:00,0.097115688,0.097545379,0.097115688,0.097115688,,,,,
1980-12-22 00:00:00-05:00,0.101842299,0.102272759,0.101842299,0.101842299,,,,,Date
1980-12-23 00:00:00-05:00,0.10613998,0.106569672,0.10613998,0.10613998,,,,,Open
1980-12-24 00:00:00-05:00,0.111725904,0.112155595,0.111725904,0.111725904,,,,,High
1980-12-26 00:00:00-05:00,0.122039236,0.122468928,0.122039236,0.122039236,,,,,Low
1980-12-29 00:00:00-05:00,0.123757951,0.124187642,0.123757951,0.123757951,,,,,Close
1980-12-30 00:00:00-05:00,0.121179846,0.121179846,0.120750166,0.120750166,,,,,
1980-12-31 00:00:00-05:00,0.117742324,0.117742324,0.117312633,0.117312633,,,,,
1981-01-02 00:00:00-05:00,0.11860171,0.119461092,0.11860171,0.11860171,,,,,
1981-01-05 00:00:00-05:00,0.116453205,0.116453205,0.116023526,0.116023526,,,,,
1981-01-06 00:00:00-05:00,0.111296208,0.111296208,0.110866517,0.110866517,,,,,
1981-01-07 00:00:00-05:00,0.106569672,0.106569672,0.10613998,0.10613998,,,,,
1981-01-08 00:00:00-05:00,0.104421203,0.104421203,0.103991523,0.103991523,,,,,
1981-01-09 00:00:00-05:00,0.109577447,0.110007138,0.109577447,0.109577447,,,,,
1981-01-12 00:00:00-05:00,0.109577408,0.109577408,0.108718038,0.108718038,,,,,
1981-01-13 00:00:00-05:00,0.105280535,0.105280535,0.104850844,0.104850844,,,,,
1981-01-14 00:00:00-05:00,0.105280586,0.105710277,0.105280586,0.105280586,,,,,
1981-01-15 00:00:00-05:00,0.10742902,0.108288391,0.10742902,0.10742902,,,,,
1981-01-16 00:00:00-05:00,0.106999324,0.106999324,0.106569633,0.106569633,,,,,
1981-01-19 00:00:00-05:00,0.113014974,0.113444665,0.113014974,0.113014974,,,,,
1981-01-20 00:00:00-05:00,0.110007138,0.110007138,0.109577447,0.109577447,,,,,
1981-01-21 00:00:00-05:00,0.111725904,0.112585275,0.111725904,0.111725904,,,,,
1981-01-22 00:00:00-05:00,0.113014974,0.113874356,0.113014974,0.113014974,,,,,
1981-01-23 00:00:00-05:00,0.113014945,0.113444636,0.112585254,0.112585254,,,,,
1981-01-26 00:00:00-05:00,0.111296208,0.111296208,0.110866517,0.110866517,,,,,
1981-01-27 00:00:00-05:00,0.110866501,0.110866501,0.11000713,0.11000713,,,,,
1981-01-28 00:00:00-05:00,0.106999324,0.106999324,0.106569633,0.106569633,,,,,
1981-01-29 00:00:00-05:00,0.103132123,0.103132123,0.102702431,0.102702431,,,,,
1981-01-30 00:00:00-05:00,0.09797507,0.09797507,0.097115688,0.097115688,,,,,
1981-02-02 00:00:00-05:00,0.091959465,0.091959465,0.091529779,0.091529779,,,,,
1981-02-03 00:00:00-05:00,0.094967246,0.095396931,0.094967246,0.094967246,,,,,
1981-02-04 00:00:00-05:00,0.098404795,0.098834475,0.098404795,0.098404795,,,,,
1981-02-05 00:00:00-05:00,0.098404795,0.099264166,0.098404795,0.098404795,,,,,
1981-02-06 00:00:00-05:00,0.098834492,0.099264184,0.098834492,0.098834492,,,,,
1981-02-09 00:00:00-05:00,0.094537613,0.094537613,0.093678236,0.093678236,,,,,
1981-02-10 00:00:00-05:00,0.093678236,0.094107927,0.093678236,0.093678236,,,,,
1981-02-11 00:00:00-05:00,0.091100085,0.091100085,0.090670399,0.090670399,,,,,
1981-02-12 00:00:00-05:00,0.090240705,0.090240705,0.089810245,0.089810245,,,,,
1981-02-13 00:00:00-05:00,0.088521164,0.088521164,0.087661788,0.087661788,,,,,
1981-02-17 00:00:00-05:00,0.089810245,0.090240705,0.089810245,0.089810245,,,,,
1981-02-18 00:00:00-05:00,0.093678236,0.094537613,0.093678236,0.093678236,,,,,
1981-02-19 00:00:00-05:00,0.088521191,0.088521191,0.0880915,0.0880915,,,,,
1981-02-20 00:00:00-05:00,0.083794625,0.083794625,0.083364934,0.083364934,,,,,
1981-02-23 00:00:00-05:00,0.084654018,0.08508371,0.084654018,0.084654018,,,,,
1981-02-24 00:00:00-05:00,0.082505528,0.082505528,0.081646152,0.081646152,,,,,
1981-02-25 00:00:00-05:00,0.086802423,0.087232108,0.086802423,0.086802423,,,,,
1981-02-26 00:00:00-05:00,0.0880915,0.088521191,0.0880915,0.0880915,,,,,
1981-02-27 00:00:00-05:00,0.091100082,0.091959459,0.091100082,0.091100082,,,,,
1981-03-02 00:00:00-05:00,0.091529779,0.091959465,0.091529779,0.091529779,,,,,
1981-03-03 00:00:00-05:00,0.090670438,0.090670438,0.090240747,0.090240747,,,,,
1981-03-04 00:00:00-05:00,0.089810255,0.089810255,0.08938057,0.08938057,,,,,
1981-03-05 00:00:00-05:00,0.089380571,0.089380571,0.08895088,0.08895088,,,,,
1981-03-06 00:00:00-05:00,0.088950877,0.088950877,0.0880915,0.0880915,,,,,
1981-03-09 00:00:00-05:00,0.081646162,0.081646162,0.081216477,0.081216477,,,,,
1981-03-10 00:00:00-05:00,0.077778253,0.077778253,0.077348568,0.077348568,,,,,
1981-03-11 00:00:00-05:00,0.075200085,0.075200085,0.074340709,0.074340709,,,,,
1981-03-12 00:00:00-05:00,0.077348568,0.077778253,0.077348568,0.077348568,,,,,
1981-03-13 00:00:00-05:00,0.076918829,0.076918829,0.076489143,0.076489143,,,,,
1981-03-16 00:00:00-05:00,0.07949774,0.080357116,0.07949774,0.07949774,,,,,
1981-03-17 00:00:00-05:00,0.083364934,0.084224311,0.083364934,0.083364934,,,,,
1981-03-18 00:00:00-05:00,0.088521205,0.089380582,0.088521205,0.088521205,,,,,
1981-03-19 00:00:00-05:00,0.088091473,0.088091473,0.087661788,0.087661788,,,,,
1981-03-20 00:00:00-05:00,0.088521205,0.089380582,0.088521205,0.088521205,,,,,
